0 strains,1 strain,2 strains,3 or more strains
2253232,4386248,4174963,4185556
2253524,4389330,4173132,4184013
2252385,4386977,4171825,4188812
2252761,4384800,4173747,4188691
2250310,4383981,4177901,4187807
2253619,4386421,4174207,4185752
2255737,4385809,4169382,4189071
2252984,4386575,4172722,4187718
2255360,4385878,4172639,4186122
2253873,4384978,4172172,4188976
2252976,4385581,4174414,4187028
2250738,4387395,4171985,4189881
2253900,4386946,4173039,4186114
2254221,4387399,4171091,4187288
2252722,4387228,4172606,4187443
2253258,4386502,4175913,4184326
2250886,4390743,4172788,4185582
2253082,4387120,4173577,4186220
2252126,4389431,4172171,4186271
2254614,4385290,4175704,4184391
2252880,4386868,4172677,4187574
2255858,4385503,4173068,4185570
2251565,4386174,4174313,4187947
2252998,4387795,4175746,4183460
2253254,4387878,4171932,4186935
2253211,4384649,4173740,4188399
2254010,4387401,4172910,4185678
2249831,4387039,4175808,4187321
2254395,4383861,4176276,4185467
2253394,4385788,4176068,4184749
2252787,4388649,4174619,4183944
2250997,4387774,4173750,4187478
2252630,4386510,4173145,4187714
2252124,4387799,4173041,4187035
2252551,4388145,4171426,4187877
2252263,4383143,4174293,4190300
2254479,4384634,4173622,4187264
2254340,4385211,4174563,4185885
2255094,4387399,4171087,4186419
2250324,4386911,4173576,4189188
2248439,4387195,4174541,4189824
2253195,4384184,4172672,4189948
2252827,4386984,4174207,4185981
2251820,4383711,4174437,4190031
2251254,4386861,4174787,4187097
2252944,4385794,4175776,4185485
2254426,4389092,4172467,4184014
2252266,4384818,4176885,4186030
2252622,4385311,4175898,4186168
2254005,4385482,4173772,4186740
2252647,4385571,4175050,4186731
2254531,4387326,4172237,4185905
2251852,4387530,4174095,4186522
2252426,4382831,4175993,4188749
2253187,4386751,4174618,4185443
2252604,4387984,4173047,4186364
2252303,4385983,4170844,4190869
2252670,4384542,4175800,4186987
2254175,4385942,4173970,4185912
2252955,4385245,4175543,4186256
2253258,4386402,4172577,4187762
2253292,4387240,4174824,4184643
2251009,4387357,4174980,4186653
2252556,4389316,4174074,4184053
