0 strains,1 strain,2 strains,3 or more strains
2029915,4479389,4329645,4161051
2029222,4484231,4326098,4160449
2031953,4481878,4326018,4160151
2030963,4482406,4324470,4162161
2028664,4483342,4328960,4159034
2029779,4481096,4327708,4161417
2027998,4482768,4327064,4162170
2032213,4477601,4330286,4159900
2030533,4478805,4328657,4162005
2031067,4482714,4327032,4159187
2031012,4479509,4327917,4161562
2031595,4481765,4329442,4157198
2030937,4478524,4327790,4162749
2030886,4480624,4327435,4161055
2030946,4480632,4328320,4160102
2028673,4482384,4326967,4161976
2029392,4479921,4329565,4161122
2029584,4482791,4328854,4158771
2031132,4480467,4328728,4159673
2029930,4480403,4325914,4163753
2030551,4480782,4331556,4157111
2030534,4479915,4332198,4157353
2029952,4483099,4326276,4160673
2030370,4481514,4329389,4158727
2030473,4479982,4325078,4164467
2030981,4477297,4328565,4163157
2029906,4482232,4329475,4158387
2030199,4484174,4326574,4159053
2028456,4480485,4328881,4162178
2030306,4479136,4330055,4160503
2029625,4478994,4328354,4163027
2030724,4479544,4327217,4162515
2030350,4482858,4326050,4160742
2029171,4481706,4329957,4159166
2030169,4480803,4328846,4160182
2029317,4480762,4328205,4161716
2028936,4483728,4327862,4159474
2030046,4479627,4327334,4162993
2028390,4481662,4330283,4159665
2030169,4482198,4327533,4160100
2033361,4480956,4327064,4158619
2032809,4476374,4329361,4161456
2028765,4481887,4330940,4158408
2026492,4481898,4329538,4162072
2029430,4481646,4328502,4160422
2031498,4481782,4327571,4159149
2031043,4483917,4327498,4157542
2030444,4481398,4326292,4161866
2030880,4480432,4328218,4160470
2031141,4481608,4327561,4159690
2030263,4481990,4327438,4160309
2030758,4480586,4326216,4162440
2029063,4483433,4328361,4159143
2029686,4481511,4327597,4161206
2027919,4483118,4325320,4163643
2029993,4482613,4327158,4160236
2030964,4484920,4326481,4157635
2029123,4480799,4332267,4157811
2031594,4482643,4325092,4160671
2032199,4482029,4327706,4158066
2031731,4480191,4325420,4162658
2030032,4481881,4327397,4160690
2030176,4482612,4325730,4161482
2029552,4485748,4324596,4160104
2030092,4478781,4328818,4162309
2030568,4481333,4326789,4161310
2031700,4481310,4326079,4160911
2032017,4482760,4326423,4158800
2029739,4480480,4328178,4161603
2027087,4480574,4326633,4165706
2029623,4482381,4328323,4159673
2028745,4480786,4327991,4162478
2030068,4480541,4328359,4161032
2030846,4481015,4327051,4161088
2030728,4478095,4328086,4163091
2032171,4480793,4329554,4157482
2030761,4482795,4327881,4158563
2029601,4479111,4328946,4162342
2029768,4479675,4328750,4161807
2030559,4479928,4331160,4158353
2030676,4476870,4330453,4162001
2028014,4484914,4326723,4160349
2032168,4479146,4327349,4161337
2029754,4482818,4326877,4160551
2028866,4483704,4326728,4160702
2029628,4482753,4325847,4161772
2031019,4478047,4327444,4163490
2031088,4478753,4328438,4161721
2030147,4480297,4327558,4161998
2030571,4482524,4326673,4160232
2027749,4480624,4328412,4163215
2029617,4482318,4329194,4158871
2031840,4478939,4328054,4161167
2029490,4480994,4326842,4162674
2027712,4483788,4329025,4159475
2028954,4477617,4333066,4160363
2031095,4482783,4325509,4160613
2030223,4483233,4325117,4161427
2032596,4482898,4324121,4160385
2027672,4480169,4328275,4163884
2029304,4482316,4329304,4159076
