0 strains,1 strain,2 strains,3 or more strains
2075389,4284947,4229123,4410541
2074066,4284990,4226320,4414624
2075580,4286298,4225812,4412310
2072259,4287717,4228642,4411382
2074418,4285452,4229072,4411058
2074351,4283081,4230047,4412521
2075394,4288609,4228601,4407396
2072036,4287370,4229469,4411125
2075404,4285374,4228923,4410299
2076005,4284962,4228540,4410493
2073974,4287464,4226826,4411736
2073239,4285344,4228967,4412450
2075796,4290010,4227786,4406408
2072312,4287385,4227942,4412361
2072613,4285188,4229452,4412747
2075343,4286342,4230276,4408039
2072022,4288553,4227886,4411539
2077143,4283362,4230830,4408665
2074494,4285789,4226436,4413281
2073065,4286545,4231444,4408946
2074449,4284671,4228326,4412554
2074923,4286593,4227115,4411369
2073356,4286266,4228574,4411804
2075062,4285782,4229586,4409570
2076681,4284723,4227309,4411287
2076962,4281955,4226844,4414239
2076313,4283106,4228168,4412413
2075260,4286703,4227190,4410847
2075455,4286977,4228496,4409072
2074421,4286752,4227139,4411688
2073378,4288399,4227026,4411197
2075445,4285450,4228271,4410834
2076609,4289045,4226794,4407552
2073930,4283022,4229669,4413379
2073256,4288702,4225292,4412750
2075527,4282559,4229963,4411951
2072647,4287231,4231760,4408362
2074836,4286619,4226531,4412014
2076276,4285745,4228032,4409947
2072285,4285992,4232972,4408751
2076152,4281979,4231349,4410520
2074198,4283443,4233031,4409328
2075694,4286860,4226206,4411240
2075719,4282984,4230134,4411163
2075070,4283894,4230449,4410587
2074344,4287202,4226598,4411856
2072988,4288131,4226306,4412575
2074311,4288771,4226583,4410335
2073810,4288410,4228665,4409115
2075304,4286409,4225928,4412359
2075662,4287637,4226452,4410249
2073708,4287615,4231349,4407328
2076481,4284253,4226690,4412576
2071600,4286361,4229627,4412412
2074114,4288510,4227527,4409849
2074791,4286579,4227293,4411337
2072853,4286937,4229906,4410304
2074409,4286098,4228397,4411096
2075868,4287564,4226486,4410082
2070876,4288697,4229750,4410677
2071882,4288224,4227198,4412696
2075805,4288055,4224647,4411493
2075440,4285919,4224741,4413900
2073540,4283487,4227106,4415867
2077231,4284675,4227008,4411086
2074276,4285752,4226370,4413602
2075076,4287075,4225546,4412303
2075778,4283798,4230039,4410385
2074616,4285909,4229290,4410185
2075896,4284732,4230602,4408770
2073127,4282241,4230299,4414333
2075693,4284889,4226449,4412969
2075165,4283935,4230395,4410505
2073621,4283537,4229152,4413690
