0 strains,1 strain,2 strains,3 or more strains
2029382,4243059,4234256,4493303
2028061,4245486,4232697,4493756
2031136,4242944,4235492,4490428
2027877,4242886,4235601,4493636
2029991,4244179,4232605,4493225
2030567,4243831,4234231,4491371
2029767,4242678,4235999,4491556
2031674,4241729,4231082,4495515
2032545,4238241,4232068,4497146
2028046,4242808,4233567,4495579
2031881,4242381,4231427,4494311
2030103,4243853,4231293,4494751
2031660,4240978,4229889,4497473
2028309,4242751,4235222,4493718
2026988,4241882,4235136,4495994
2031839,4240741,4231530,4495890
2029782,4241815,4233533,4494870
2029212,4243784,4231924,4495080
2031727,4241340,4231672,4495261
2027784,4242169,4231981,4498066
2030483,4242568,4230699,4496250
2029738,4241369,4235336,4493557
2031651,4242772,4232931,4492646
2029330,4241067,4234713,4494890
2032536,4241268,4233374,4492822
2028379,4239098,4231858,4500665
2032146,4240848,4233465,4493541
2030386,4241642,4232739,4495233
2030716,4241183,4232988,4495113
2028494,4243083,4230856,4497567
2032665,4242231,4230296,4494808
2032073,4240571,4231438,4495918
2030599,4240182,4234619,4494600
2030827,4241053,4234938,4493182
2029988,4242204,4234263,4493545
2028853,4244002,4234500,4492645
2030653,4244894,4233480,4490973
2029937,4240726,4230673,4498664
2029246,4243925,4235851,4490978
2029295,4244173,4235193,4491339
2032344,4242648,4232061,4492947
2032093,4242216,4230985,4494706
2027553,4243756,4231256,4497435
2028790,4242606,4235888,4492716
2028511,4243910,4230941,4496638
2032063,4237866,4235101,4494970
2031585,4239421,4232414,4496580
2031372,4242348,4234092,4492188
2030714,4241394,4235632,4492260
2029414,4243547,4234930,4492109
2030231,4244220,4232219,4493330
2028483,4246293,4233647,4491577
2032050,4242976,4232807,4492167
2029285,4243243,4232985,4494487
2030747,4244698,4233214,4491341
2030431,4240665,4234943,4493961
2030616,4243428,4233352,4492604
2032403,4243094,4230610,4493893
2030691,4243621,4233180,4492508
2030730,4243406,4231000,4494864
2028936,4241118,4233599,4496347
2033711,4242210,4230070,4494009
2030472,4238602,4235677,4495249
2030488,4245594,4230406,4493512
2031927,4242125,4232980,4492968
2030000,4239892,4233766,4496342
2029330,4242170,4233201,4495299
2031626,4242835,4232773,4492766
2031348,4241702,4234027,4492923
2030665,4240671,4233807,4494857
2030396,4243823,4232119,4493662
2029829,4245022,4231215,4493934
2028456,4241537,4233153,4496854
2030018,4245372,4231145,4493465
2030227,4242410,4232296,4495067
2029505,4240274,4234565,4495656
2030699,4241142,4232753,4495406
2031419,4243941,4231625,4493015
2030239,4240493,4234033,4495235
2030472,4244920,4232511,4492097
2030282,4243726,4232193,4493799
2029204,4242167,4232665,4495964
2031072,4243047,4233323,4492558
2031195,4244704,4232164,4491937
2030149,4241585,4234887,4493379
2028720,4242768,4233784,4494728
2029645,4241419,4235509,4493427
2029496,4242506,4234489,4493509
2031173,4242286,4235432,4491109
2030915,4241871,4233815,4493399
2030290,4240883,4233764,4495063
2030672,4241338,4234631,4493359
2032254,4243376,4232174,4492196
2031298,4245510,4231498,4491694
2031490,4242579,4230215,4495716
2032558,4241947,4232255,4493240
2028418,4241079,4234491,4496012
2030546,4240714,4231346,4497394
2028784,4244437,4232738,4494041
2031291,4242097,4232009,4494603
2029611,4242714,4235090,4492585
2031089,4242087,4233079,4493745
2028393,4242259,4233340,4496008
2029789,4242877,4232506,4494828
2030781,4242091,4237198,4489930
2030093,4241967,4231989,4495951
2031271,4241444,4236562,4490723
2029984,4242819,4232816,4494381
2029566,4241793,4235040,4493601
2030002,4242071,4232114,4495813
2031726,4240703,4232711,4494860
