0 strains,1 strain,2 strains,3 or more strains
2031185,4287226,4274730,4406859
2030143,4288510,4275004,4406343
2029283,4290009,4272405,4408303
2030321,4284535,4276172,4408972
2030723,4288235,4274700,4406342
2031688,4289582,4271816,4406914
2030271,4289426,4275366,4404937
2029101,4290812,4272152,4407935
2029718,4289467,4271210,4409605
2029267,4289328,4274108,4407297
2030139,4291262,4273520,4405079
2027287,4288883,4274371,4409459
2030080,4289325,4270204,4410391
2030231,4286483,4273926,4409360
2031451,4286282,4276150,4406117
2029857,4289142,4276187,4404814
2029253,4287539,4275558,4407650
2031010,4290338,4272778,4405874
2029710,4289416,4275699,4405175
2029868,4288552,4274185,4407395
2030180,4287877,4274101,4407842
2027805,4287194,4276886,4408115
2029645,4287737,4274215,4408403
2031441,4287941,4273516,4407102
2033159,4287232,4273762,4405847
2027491,4290225,4275026,4407258
2029842,4284715,4277480,4407963
2029000,4288441,4275398,4407161
2031641,4286741,4274420,4407198
2029567,4290012,4274684,4405737
2028950,4289540,4275014,4406496
2030270,4284372,4279964,4405394
2030316,4288251,4271930,4409503
2029029,4287102,4277313,4406556
2029344,4290885,4271669,4408102
2031272,4288865,4275016,4404847
2032268,4289807,4272546,4405379
2030088,4287556,4275025,4407331
2030298,4287419,4273373,4408910
2030812,4286542,4274216,4408430
2029363,4288171,4272795,4409671
2030672,4287452,4271974,4409902
2030521,4287437,4273854,4408188
2030816,4289437,4273511,4406236
2030296,4289224,4275916,4404564
2030224,4287634,4272792,4409350
2031410,4288514,4274942,4405134
2031328,4286331,4275089,4407252
2030023,4287331,4273627,4409019
2032335,4287759,4275153,4404753
2030861,4287565,4272512,4409062
2030679,4290284,4272836,4406201
2030290,4289209,4272748,4407753
2031327,4289463,4277042,4402168
2029669,4289493,4272000,4408838
2032117,4289556,4272461,4405866
2030759,4288822,4275406,4405013
2029187,4290515,4274435,4405863
2027403,4289250,4274564,4408783
2030780,4287193,4275093,4406934
2030797,4288998,4274436,4405769
2030241,4288424,4274061,4407274
2028915,4290022,4277255,4403808
2029366,4288538,4277940,4404156
2031493,4290561,4269951,4407995
2029423,4289193,4273610,4407774
2031191,4286077,4273570,4409162
2032111,4285829,4277086,4404974
2029447,4291857,4271832,4406864
2031063,4287587,4275774,4405576
