0 strains,1 strain,2 strains,3 or more strains
2032734,4244443,4231714,4491109
2030932,4242693,4232323,4494052
2030169,4238778,4235358,4495695
2030687,4239738,4232853,4496722
2032011,4244783,4231366,4491840
2028772,4243598,4232318,4495312
2031574,4241934,4234341,4492151
2029190,4244211,4233216,4493383
2030060,4243842,4233601,4492497
2029408,4242008,4235595,4492989
2030966,4242597,4230772,4495665
2027398,4245495,4230839,4496268
2029231,4242858,4234621,4493290
2029248,4243854,4232753,4494145
2029493,4241644,4235949,4492914
2029394,4241283,4234252,4495071
2030314,4241807,4231980,4495899
2032660,4241450,4233123,4492767
2032148,4242459,4232822,4492571
2030061,4241134,4234546,4494259
2029916,4241906,4232201,4495977
2029681,4241515,4235006,4493798
2031726,4243952,4230486,4493836
2030611,4242331,4232996,4494062
2031222,4241381,4236598,4490799
2033992,4242850,4231950,4491208
2030002,4241346,4235772,4492880
2029889,4241479,4232541,4496091
2030865,4239426,4233890,4495819
2030680,4240537,4236509,4492274
2032991,4241398,4233460,4492151
2031866,4239739,4231067,4497328
2031415,4244790,4229247,4494548
2030797,4238480,4237869,4492854
2031308,4243426,4231766,4493500
2030821,4243064,4235188,4490927
2032552,4242100,4234441,4490907
2030354,4241867,4233456,4494323
2030541,4242947,4231153,4495359
2029261,4243235,4232295,4495209
2027803,4242546,4233497,4496154
2030010,4241664,4234338,4493988
2029791,4243372,4233056,4493781
2029222,4241353,4233930,4495495
2029758,4241349,4233971,4494922
2029052,4241591,4234034,4495323
2030333,4239085,4235441,4495141
2028912,4240908,4236015,4494165
2028524,4240515,4236677,4494284
2031419,4239880,4234115,4494586
2028624,4245401,4234867,4491108
2029191,4244211,4234113,4492485
2029694,4245626,4234368,4490312
2029513,4242540,4233332,4494615
2030874,4242830,4235234,4491062
2029038,4244350,4234333,4492279
2031530,4243649,4230629,4494192
2029212,4241555,4232269,4496964
2033374,4238059,4233998,4494569
2030358,4240709,4234778,4494155
2029398,4242456,4234905,4493241
2031058,4242328,4232446,4494168
2029133,4246205,4231248,4493414
2029721,4242093,4233287,4494899
2029514,4242872,4234572,4493042
2028732,4245226,4233028,4493014
2028675,4242409,4234887,4494029
2032595,4245053,4232494,4489858
2031113,4240451,4234317,4494119
2029569,4242707,4232217,4495507
2031866,4238990,4233802,4495342
2030532,4244340,4234230,4490898
2032658,4242259,4233331,4491752
2030514,4240702,4233431,4495353
2030127,4239040,4235893,4494940
2030485,4247160,4232706,4489649
2028884,4239233,4236459,4495424
2028304,4244112,4232738,4494846
2029784,4242866,4233328,4494022
2031465,4241400,4233835,4493300
2028057,4240030,4236212,4495701
2029713,4241033,4236218,4493036
2030589,4241334,4234250,4493827
2032105,4237869,4235828,4494198
2030118,4242682,4235174,4492026
2029018,4241555,4234100,4495327
2027128,4243592,4232671,4496609
2031752,4243024,4234169,4491055
2030103,4243445,4232922,4493530
2030694,4242856,4231550,4494900
2029897,4241263,4234862,4493978
2030122,4244190,4233330,4492358
2029437,4245225,4231557,4493781
2030165,4242461,4229846,4497528
2029207,4242678,4233924,4494191
2029520,4240196,4234004,4496280
2031400,4242876,4232003,4493721
2031526,4242746,4233072,4492656
2031868,4244087,4232568,4491477
2029541,4241864,4235564,4493031
2029030,4242686,4232425,4495859
2028384,4241693,4233793,4496130
2029696,4242909,4233979,4493416
2027917,4243573,4233066,4495444
2030031,4241156,4232830,4495983
2029166,4241019,4234056,4495759
2030071,4239193,4237626,4493110
2030963,4243355,4233345,4492337
2028882,4243445,4232713,4494960
2029577,4243166,4233624,4493633
2029337,4241764,4233765,4495134
2029357,4239429,4233793,4497421
2026964,4243652,4236293,4493091
2030642,4240232,4234876,4494250
2029631,4241809,4233291,4495269
2029430,4243391,4232196,4494983
2030173,4243765,4231583,4494479
2033001,4239285,4233349,4494365
2030078,4242014,4231204,4496704
2031589,4240914,4234098,4493399
2030583,4241695,4234565,4493157
2031088,4242944,4231437,4494531
2029401,4244355,4232417,4493827
2030486,4240446,4234960,4494108
2030204,4242109,4234579,4493108
2027886,4243933,4232676,4495505
2030183,4241998,4234690,4493129
2028179,4245307,4233581,4492933
2029806,4239525,4234854,4495815
2028032,4243934,4232498,4495536
2032125,4242074,4232447,4493354
2029299,4242667,4234828,4493206
2030176,4246299,4230359,4493166
2029929,4240620,4235935,4493516
2030114,4245101,4230531,4494254
2029946,4242495,4233002,4494557
2028679,4242895,4234927,4493499
2031474,4242398,4232721,4493407
2031091,4243654,4232381,4492874
2029470,4243691,4232266,4494573
2027462,4245097,4233989,4493452
2031675,4242047,4232279,4493999
2030199,4243074,4232231,4494496
2031809,4239803,4234145,4494243
2030278,4242470,4232660,4494592
2033431,4241332,4230673,4494564
2028868,4240104,4235637,4495391
2028616,4245781,4234028,4491575
2030950,4241835,4231469,4495746
2028603,4242928,4233681,4494788
2027517,4241865,4233782,4496836
2027708,4242175,4235463,4494654
2029198,4242482,4232642,4495678
2028684,4242630,4234426,4494260
2030436,4239916,4235423,4494225
2031511,4241384,4233743,4493362
2027345,4245073,4231490,4496092
2030858,4243213,4232304,4493625
2028294,4245516,4232235,4493955
2028914,4243751,4232674,4494661
2029657,4242303,4233703,4494337
2030236,4242660,4234631,4492473
2029953,4243897,4233466,4492684
2030718,4240057,4234897,4494328
2029749,4242483,4233369,4494399
2028586,4244759,4231976,4494679
2029228,4244715,4232410,4493647
2031281,4240378,4230439,4497902
2031101,4240642,4232111,4496146
2030736,4241891,4231838,4495535
2029586,4241977,4235543,4492894
2030018,4240908,4234888,4494186
2028096,4243457,4233505,4494942
2031151,4242881,4229048,4496920
2030688,4241269,4229640,4498403
2029627,4242664,4233687,4494022
2030200,4240538,4233610,4495652
2030962,4242046,4233315,4493677
2030234,4240936,4234260,4494570
2029567,4242927,4231446,4496060
